genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
dance and electronica,TRUGCXC12903CB89C6,High Contrast,Natural High,-6.941,86.48100000000001,4,2,1,385.41016,46.398312429399994,22.399468361599997,-14.354805649700001,18.7039463277,28.320061016900002,-31.2689864407,24.7698858757,-5.29379039548,3.45871073446,8.92691977401,10.9079039548,8.05196101695,27.293928008,927.7587853460001,965.599286392,395.787958838,483.495039053,624.36168444,346.624974984,240.296513135,217.840489455,234.37401851099997,186.109413986,179.045040485
jazz and blues,TRXGPGN128F4260041,The Triangle,Media Slaves,-12.332,0.0,0,11,0,1557.08036,35.8377899628,-75.7722202602,-34.2911040892,-24.1815297398,-11.7195325279,-11.4964358736,-30.1688336431,-2.79322769517,-2.5088355018599997,-4.84056505576,1.34502137546,-1.1592035316,116.25126293,4959.90228917,3973.30171356,1332.95050539,3230.33539991,1302.52290605,704.767656951,367.107108525,505.27262911300005,236.58817877,225.188679525,499.117155751
punk,TRQSNJF128F92EE355,Pinchers,Pretending,-13.953,171.574,4,7,1,214.77832,39.621476429299996,14.953665998,-15.1786519559,-1.66510130391,4.79826178536,1.0850962888700002,-7.89753059178,-2.92879438315,1.1946970912700001,4.448540621869999,-5.1494914744199995,-7.3922818455399995,19.9650306988,2046.41147814,3944.77824357,1824.19354377,1169.79437545,1165.97375205,983.626895898,634.045670745,394.531157441,377.47165165300004,477.26175317900004,417.069310975
metal,TRTXNZW12903CC8219,August Burns Red,You Should Be Taking Flight Now,-6.15,81.583,4,5,1,260.8322,50.0185568783,42.3931362434,15.6844470899,-10.7086904762,-38.6551322751,-23.0521904762,13.897190476199999,0.758883597884,3.4213981481499998,3.70270767196,-1.9972089947099998,12.2117896825,7.2079284293,534.027382083,630.489984914,606.14213069,423.086862565,460.27869760699997,188.483593625,284.36920020599996,168.826525409,191.02994136599997,221.752986583,87.6412404042
classic pop and rock,TRSXVMY128F423EB93,Fun 'Da' Mental,Demonised Soul,-2.7539999999999996,229.94799999999998,7,7,1,236.90403999999998,52.7497996307,55.8473351801,6.9293702677699995,-12.5265632502,3.16931578947,-19.0970535549,-1.2702086795899998,-1.20131855956,17.6593093259,10.1749445983,-3.2149944598299998,10.9867239151,17.5593682969,800.812944023,1409.23339525,659.343154815,417.30515544199994,476.649559273,640.0200789740001,259.41698424099997,263.473201759,194.90675938200002,212.82449271299998,246.820377238
dance and electronica,TRRQGKA12903CE3883,Larry Tee feat. Perez Hilton,Me Penis (Original Mix),-6.02,126.021,4,0,1,215.30077000000003,47.157673694799996,37.919321285100004,-3.7600110441800005,24.2292279116,0.063813253012,-4.09682228916,14.659753012000001,13.9010722892,-6.362629518069999,2.89470481928,-5.37154618474,2.5804698795200003,29.500041083299998,4394.62911937,3184.72369262,4103.99039001,1073.72311057,1828.09629665,732.847966865,796.5302990810001,538.606053235,493.501969808,1070.90638706,435.27153722099996
classical,TRUJSHJ128F428F45A,Evgeny Kissin,Berceuse_ Op. 57,-44.24100000000001,108.191,4,1,1,281.96526,11.6306746507,-45.3738223553,-28.4562315369,-31.4688183633,106.555081836,-42.6949520958,-12.627411177599999,14.9252854291,-25.4514730539,2.6349740519,-0.44576846307400003,3.4326746507,7.445191413110001,1339.79677711,1468.89633222,739.124156488,1833.39395378,158.88521205,1981.31611432,210.685760695,1581.73476714,253.565530836,58.1371965691,1008.18489142
folk,TRJOQRU128F42B108F,Alex de Grassi,McCormick,-21.255,76.383,4,5,1,223.89506,31.983828483899998,-65.6802771822,-26.098033690700003,-3.42729709035,12.866820827,-10.5949081164,-12.4893032159,-10.6029617152,22.8039310873,2.62868300153,4.283350689130001,13.207748851500002,14.3437358971,1435.37600003,1442.48408306,1091.52329561,878.367744508,661.1180787659999,337.427730279,406.613686248,432.19056533800006,190.83888156400002,195.59441232,278.771375487
soul and reggae,TRSYKHG12903CEDBD6,Sam Cooke,Crazy She Calls Me,-15.477,65.685,3,0,1,153.10322,36.6767254902,-30.9370686275,26.3331740196,-15.5738406863,25.311213235300002,-10.896583333299999,-5.80002696078,3.00009558824,3.51506127451,-3.92,-4.53168137255,5.42874264706,31.4924939639,3800.10321379,2476.8104301,1789.99891385,1698.27242387,551.609345228,989.1661417810001,640.503321631,689.360337822,357.490181441,288.177298408,489.30065275
metal,TRVSJCE128F9330EC1,The Autumn Offering,Portrait,-3.7969999999999997,198.834,4,10,0,175.93424,52.3491478599,52.866996108900004,11.1762159533,-6.68031128405,-0.815474708171,-30.199764591399997,3.2565797665400003,-7.87120038911,21.8305817121,7.84803307393,0.180953307393,2.98824902724,6.71386818047,431.688788724,588.980185819,593.802519888,446.22547107800006,361.610910164,287.686666722,176.17701337,236.208687333,151.646846425,122.69291251899999,177.259333385
