genre,precision,recall,f1-score,numberclassified
dance and electronica,0.07142857142857142,0.09090909090909091,0.08,14
jazz and blues,0.05555555555555555,0.06666666666666667,0.0606060606060606,18
punk,0.15384615384615385,0.16666666666666666,0.16,13
metal,0.16666666666666666,0.2,0.1818181818181818,6
classic pop and rock,0.43373493975903615,0.45,0.44171779141104295,83
classical,0.4,0.25,0.3076923076923077,5
folk,0.3181818181818182,0.32558139534883723,0.3218390804597701,44
soul and reggae,0.0,0.0,0.0,7
pop,0.1111111111111111,0.16666666666666666,0.13333333333333333,9
hip-hop,0.0,0.0,0.0,1
