genre,precision,recall,f1-score,numberclassified
dance and electronica,0.2222222222222222,0.18181818181818182,0.19999999999999998,14
jazz and blues,0.2,0.13333333333333333,0.16,18
punk,0.4,0.16666666666666666,0.23529411764705882,13
metal,0.3333333333333333,0.4,0.3636363636363636,6
classic pop and rock,0.5,0.725,0.5918367346938775,83
classical,0.5,0.125,0.2,5
folk,0.43478260869565216,0.46511627906976744,0.449438202247191,44
soul and reggae,0.3333333333333333,0.125,0.18181818181818182,7
pop,0.0,0.0,0.0,9
hip-hop,0.0,0.0,0.0,1
